name,nation,score,peoples,date
密室逃生,美国,7.3,106100,2019-01-04
看不见的客人,奇幻电影节,8.8,571443,2016-09-23
网络谜踪,圣丹斯电影节,8.6,262400,2018-01-20
非自然死亡,日本,9.4,235081,2018-01-12
调音师,印度,8.3,200592,2018-10-05
唐人街探案2,中国大陆,6.7,562695,2018-02-16
祈祷落幕时,日本,8.0,50864,2018-01-27
无双,中国大陆,8.1,562629,2018-09-30
3年A班：从现在起，大家都是人质,日本,8.3,41915,2019-01-06
唐人街探案,中国大陆,7.5,427596,2015-12-31
白夜追凶,中国大陆,9.0,275841,2017-08-30
控方证人,美国,9.6,175371,1957-12-17
明星大侦探 第四季,中国大陆,8.7,65806,2018-10-26
真探 第三季,美国,8.3,19339,2019-01-13
信号,韩国,9.2,128981,2016-01-22
十二怒汉,美国,9.4,238626,1957-04-13
神探夏洛克 第一季,英国,9.3,274353,2010-07-25
十二公民,罗马电影节,8.3,189880,2014-10-19
记忆大师,北京电影节,7.1,242806,2017-04-23
东方快车谋杀案,英国,6.9,197935,2017-11-03
致命ID,美国,8.7,428250,2003-04-25
密室大逃脱,中国大陆,6.1,8131,2019-03-30
原生之罪 第一季,中国大陆,6.3,30385,2018-12-20
古董局中局,中国大陆,6.8,36886,2018-12-26
无证之罪,中国大陆,8.2,84674,2017-09-06
非常嫌疑犯,圣丹斯电影节,8.6,152649,1995-01-25
秘密森林,韩国,9.2,65374,2017-06-10
神探夏洛克  第二季,英国,9.5,228411,2012-01-01
毛骗 终结篇,中国大陆,9.6,32517,2015-09-10
名侦探柯南：零的执行人,日本,5.8,73887,2018-04-13
明星大侦探 第一季,中国大陆,9.2,42987,2016-03-27
嫌疑人X的献身,中国大陆,6.4,196175,2017-03-31
名侦探柯南,日本,9.1,75528,1996-01-08
神探夏洛克 第三季,英国,8.9,179486,2014-01-01
大侦探福尔摩斯,美国,7.6,224362,2009-12-25
东方快车谋杀案,,8.3,54798,1974-11-24
少年包青天,香港,8.1,74070,2000-09-04
达·芬奇密码,美国,7.3,170428,2006-05-19
冰菓,,8.8,31568,2012-04-22
狄仁杰之四大天王,中国大陆,6.1,200932,2018-07-27
法医秦明,中国大陆,7.0,57282,2016-10-13
风声,中国大陆,8.1,335879,2009-09-29
心理罪,中国大陆,4.9,102615,2017-08-11
摩斯探长前传 第六季,英国,9.4,1481,2019-02-10
大逃脱 第一季,韩国,9.2,10015,2018-07-01
江户川乱步短篇集3,日本,8.1,2603,2018-12-30
罪恶之家,英国,8.3,85437,2015-09-13
大逃脱 第二季,韩国,9.4,2369,2019-03-17
神探狄仁杰,中国大陆,8.7,19779,2004-08-05
追随,多伦多电影节,8.9,102677,1998-09-12
99.9：刑事专业律师 第二季,日本,8.4,15533,2018-01-14
名侦探柯南：通向天国的倒计时,日本,8.5,75529,2001-04-21
摩斯探长前传 第一季,英国,9.0,9469,2013-04-14
目击者之追凶,台湾,8.2,84131,2017-03-31
大侦探福尔摩斯2：诡影游戏,美国,7.6,165088,2011-12-16
杀人者的记忆法,韩国,7.5,22503,2017-09-06
ABC谋杀案,英国,6.4,6752,2018-12-26
如月疑云,,8.1,39533,2007-06-16
千谎百计 第一季,美国,8.7,114725,2009-01-21
疯人院,中国大陆,7.7,30595,2018-08-09
惊天魔盗团2,美国,6.6,173653,2016-06-10
名侦探柯南：引爆摩天楼,日本,8.3,78559,1997-04-19
寒战,中国大陆,7.4,261643,2012-11-08
盲探,戛纳电影节,7.1,154998,2013-05-19
天方异谈,中国大陆,7.7,4136,2018-11-23
名侦探柯南：瞳孔中的暗杀者,日本,8.2,66104,2000-04-22
神探伽利略,日本,8.2,59365,2007-10-15
十二个想死的孩子,日本,5.8,228,2019-01-25
名侦探柯南：世纪末的魔术师,日本,8.5,76705,1999-04-17
名侦探柯南：迷宫的十字路口,,8.3,71151,2003-04-19
99.9：刑事专业律师 第一季,日本,8.0,22093,2016-04-17
心动的信号 第一季,中国大陆,7.1,23368,2018-08-26
屠夫小姐,韩国,5.5,2131,2017-07-11
只有我不存在的城市,日本,8.8,18132,2016-01-08
无妄之灾,英国,7.8,21696,2018-04-01
心冤,澳门电影节,6.3,3497,2017-12-13
不死法医,美国,8.4,16054,2014-09-22
万能钥匙,英国,7.9,209475,2005-07-29
大侦探霍桑,中国大陆,3.4,2114,2019-01-25
名侦探柯南：纯黑的恶梦,日本,6.2,44681,2016-04-16
消失的子弹,中国大陆,6.5,88734,2012-08-14
十二宫,美国,7.3,118371,2007-03-02
犯罪心理 第十四季,美国,9.0,3404,2018-10-03
狄仁杰之通天帝国,威尼斯电影节,6.5,190365,2010-09-05
名侦探柯南：唐红的恋歌,日本,6.6,32032,2017-04-15
福尔摩师奶,香港,7.0,1258,2019-02-25
少年包青天Ⅱ,中国大陆,7.0,31940,2001-08-07
名侦探柯南：银翼的魔术师,,7.9,61437,2004-04-17
神探夏洛克：最后的誓言,英国,8.8,13173,2014-01-12
自白,韩国,8.8,1219,2019-03-23
诈欺游戏,日本,8.4,38447,2007-04-14
名侦探柯南：第十四个目标,日本,7.9,55844,1998-04-18
东方快车谋杀案,美国,8.0,27018,2010-07-11
名侦探柯南：水平线上的阴谋,,7.6,55968,2005-04-09
名侦探柯南：漆黑的追踪者,日本,7.4,67675,2009-04-18
名侦探柯南：侦探们的镇魂歌,日本,7.7,63561,2006-04-15
