name,nation,score,peoples,date
瑞克和莫蒂 第三季,首播集,9.8,60587,2017/4/1
瑞克和莫蒂 第二季,美国,9.8,56219,2015/7/26
瑞克和莫蒂 第一季,美国,9.7,77671,2013/12/2
宇宙时空之旅,,9.7,9928,2014/3/9
我的三体·罗辑传,中国大陆,9.6,1649,2016/6/9
神秘博士  第四季,英国,9.6,8108,2008/4/5
苍穹浩瀚 第三季,美国,9.5,9124,2018/4/11
我的三体,中国大陆,9.5,4185,2014/2/27
攻壳机动队 第一季,日本,9.5,19774,2002/10/1
疑犯追踪 第三季,美国,9.5,29187,2013/9/24
超兽武装之勇者无惧,中国大陆,9.5,2363,2011/11/11
黑镜 第一季,英国,9.4,250815,2011/12/4
权力的游戏 第一季,美国,9.4,229482,2011/4/17
新世纪福音战士剧场版：Air/真心为你,日本,9.4,35696,1997/7/19
星游记 第一季,中国大陆,9.4,6816,2011/10/30
疑犯追踪 第四季,美国,9.4,26567,2014/9/23
神秘博士  第二季,英国,9.4,9280,2006/4/15
神秘博士  第三季,英国,9.4,8240,2007/3/31
盗梦空间,美国,9.3,1104003,2010/7/16
机器人总动员,美国,9.3,731515,2008/6/27
命运石之门,日本,9.3,39471,2011/4/5
福音战士新剧场版：破,,9.3,43795,2009/6/27
少女终末旅行,日本,9.3,8252,2017/10/6
超胆侠 第三季,美国,9.3,6447,2018/10/19
飞出个未来 第一季,美国,9.3,9871,1999/3/28
疑犯追踪 第五季,美国,9.3,26006,2016/5/3
百变机兽之洛洛历险记,,9.3,4352,祖晴
奈克瑟斯奥特曼,,9.3,3273,2004/10/2
星际穿越,美国,9.2,786612,2014/11/7
楚门的世界,美国,9.2,757015,1998/6/5
黑镜 第二季,英国,9.2,151094,2013/2/11
詹姆斯·卡梅隆的科幻故事,美国,9.2,7191,2018/4/30
苍穹浩瀚 第二季,美国,9.2,9443,2017/2/1
蝙蝠侠：黑暗骑士,纽约首映,9.1,511136,2008/7/14
黑镜：圣诞特别篇,英国,9.1,81036,2014/12/16
相对宇宙 第二季,美国,9.1,4282,2018/12/9
攻壳机动队2：无罪,日本,9.1,42067,2004/3/6
疑犯追踪  第一季,美国,9.1,49195,2011/9/22
福音战士新剧场版：序,日本,9.1,39555,2007/9/1
星空清理者,,9.1,5352,2003/10/4
天元突破红莲螺岩,日本,9.1,10011,2007/4/1
大都会,,9,19220,1927/1/10
电焊工波力,美国,9,58985,2008/11/18
月球旅行记,法国,9,19598,1902/9/1
寄生兽 生命的准则,日本,9,36234,2014/10/8
反叛的鲁路修,日本,9,50696,2006/10/5
变形金刚：超能勇士 第一季,加拿大,9,7805,1996/8/6
宇宙快递,韩国,9,25830,2014/5/8
使女的故事 第二季,美国,9,29197,2018/4/25
哥谭 第五季,美国,9,2328,2019/1/3
太空丹迪,日本,9,4838,2014/1/5
黑客帝国,美国,8.9,402543,1999/3/31
哈利·波特与魔法石,英国首映,8.9,421981,2001/11/4
红辣椒,威尼斯电影节,8.9,192804,2006/9/2
攻壳机动队,日本,8.9,77762,1995/11/18
迪迦奥特曼,日本,8.9,13987,1996/9/6
神盾局特工 第五季,美国,8.9,17481,2017/12/1
X档案 第一季,美国,8.9,12170,1993/9/10
来自新世界,日本,8.9,16245,2012/9/28
星际牛仔：天国之门,日本,8.9,17075,2001/9/1
九回时间旅行,韩国,8.9,38396,2013/3/11
攻壳机动队2.0,日本,8.9,12921,2008/7/12
堤,,8.9,9158,1962/2/16
神秘博士：圣诞入侵,,8.9,4582,2005/12/25
神秘博士  第五季,英国,8.9,7216,2010/3/13
致命魔术,美国,8.8,467328,2006/10/20
V字仇杀队,BNAT电影节,8.8,594434,2005/12/11
怪奇物语 第一季,美国,8.8,94469,2016/7/15
黑镜 第三季,美国,8.8,106072,2016/10/21
黑客帝国动画版,美国,8.8,35022,2003/6/3
MEGALO BOX,日本,8.8,15376,2018/4/5
火星时代 第一季,美国,8.8,1530,2016/11/14
机动战士高达THE ORIGIN VI 赤色彗星诞生,日本,8.8,1960,2018/5/5
阿尔法围棋,翠贝卡电影节,8.8,3920,2017/4/21
黑色孤儿 第一季,,8.8,14215,2013/3/30
佐杜洛夫斯基的沙丘,戛纳电影节,8.8,4845,2013/5/18
神秘博士：逃跑新娘,,8.8,4355,2006/12/25
蜘蛛侠：平行宇宙,美国,8.7,307170,2018/12/14
头号玩家,西南偏南电影节,8.7,755280,2018/3/11
阿凡达,美国,8.7,733543,2009/12/18
2001太空漫游,华盛顿首映,8.7,136357,1968/4/2
蝴蝶效应,美国,8.7,514009,2004/1/23
剪刀手爱德华,美国,8.7,638341,1990/12/6
时空恋旅人,英国,8.7,280156,2013/9/4
驯龙高手,俄罗斯,8.7,405134,2010/3/18
加勒比海盗,美国,8.7,482578,2003/7/9
水滴,中国大陆,8.7,20322,2015/9/15
原始星球,影节,8.7,9652,1973-05(戛纳
